Produit;Module;Objet;Fonction;Fichier source;Ligne;Type;Date;Heure;Durée;Message
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;554;INFOS;27/07/2022;22:13:14.5300;37;Chargement du Panneau d'informations pour l'objet M2 en 37 ms
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;488;INFOS;27/07/2022;22:13:15.1866;;Rechargement du Panneau d'informations sur l'objet céleste sélectionné
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;488;INFOS;27/07/2022;22:13:15.1916;;Rechargement du Panneau d'informations sur l'objet céleste sélectionné
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;554;INFOS;27/07/2022;22:13:15.2227;32;Chargement du Panneau d'informations pour l'objet M3 en 32 ms
AstroTargetSelector;AstroTargetSelector;MainFenetre;comboBoxMinuteIntervalle_SelectedIndexChanged;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;796;INFOS;27/07/2022;22:13:19.8183;;Modification des minutes par intervalle : 10
AstroTargetSelector;AstroTargetSelector;MainFenetre;RechargeListeTarget;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;327;INFOS;27/07/2022;22:13:19.8352;;Chargement de la liste des targets
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;488;INFOS;27/07/2022;22:13:19.8508;;Rechargement du Panneau d'informations sur l'objet céleste sélectionné
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;554;INFOS;27/07/2022;22:13:19.8508;5;Chargement du Panneau d'informations pour l'objet M3 en 5 ms
AstroTargetSelector;AstroTargetSelector;MainFenetre;RechargeListeTarget;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;373;INFOS;27/07/2022;22:13:19.8665;28;Chargement de la liste des 3 targets effectué en 28 ms
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;488;INFOS;27/07/2022;22:13:19.8665;;Rechargement du Panneau d'informations sur l'objet céleste sélectionné
AstroTargetSelector;AstroTargetSelector;MainFenetre;UpdateViewPanelInfo;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;554;INFOS;27/07/2022;22:13:19.8794;8;Chargement du Panneau d'informations pour l'objet M3 en 8 ms
