Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 88	Galaxie	NGC 4501	12,53	14,42	13,18	0,12	0,06	La Chevelure de Bérénice	Messier
M 89	Galaxie	NGC 4552	12,59	12,56	9,75	0,09	0,08	La Vierge	Messier
M 90	Galaxie	NGC 4569	12,61	13,16	9,54	0,16	0,07	La Vierge	Messier
M 91	Galaxie	NGC 4548	12,59	14,5	13,57	0,09	0,07	La Chevelure de Bérénice	Messier
M 92	Amas d’étoiles globulaire	NGC 6341	17,29	43,14	6,4	0,23	0,23	Hercule	Messier
M 93	Amas d’étoiles ouvert	Amas du Papillon – NGC 2447	7,74	-22,15	6,2	0,17	0,17	La Poupe	Messier
M 94	Galaxie	Galaxie de l’Oeil du Crocodile – NGC 4736	12,85	41,12	8,24	0,19	0,15	Les Chiens de Chasse	Messier
M 95	Galaxie	NGC 3351	10,73	11,7	9,73	0,05	0,05	Le Lion	Messier
M 96	Galaxie	NGC 3368	10,78	11,82	9,25	0,13	0,09	Le Lion	Messier
M 97	Nébuleuse planétaire	Nébuleuse de la Chouette – NGC 3587	11,25	55,02	9,9	0,06	0,06	La Grande Ours	Messier
M 98	Galaxie	NGC 4192	12,23	14,9	10,14	0,16	0,05	La Chevelure de Bérénice	Messier
M 99	Galaxie	Moulinet de l’amas de la Vierge – NGC 4254	12,31	14,42	9,87	0,09	0,08	La Chevelure de Bérénice	Messier
M 100	Galaxie	Galaxie du Sèche-Cheveux – NGC 4321	12,38	15,82	9,35	0,12	0,11	La Chevelure de Bérénice	Messier
M 101	Galaxie	Galaxie du Moulinet – NGC 5457	14,05	54,35	7,86	0,48	0,45	La Grande Ours	Messier
M 102	Galaxie	Galaxie du Fuseau – NGC 5866	15,11	55,76	9,89	0,11	0,05	Le Dragon	Messier
M 103	Amas d’étoiles ouvert	NGC 581	1,56	60,66	7,4	0,1	0,1	Cassiopée	Messier
M 104	Galaxie	Galaxie du Sombrero – NGC 4594	12,67	-10,38	8	0,15	0,06	La Vierge	Messier
M 105	Galaxie	NGC 3379	10,8	12,58	9,76	0,09	0,08	Le Lion	Messier
M 106	Galaxie	NGC 4258	12,32	47,3	8,41	0,31	0,12	Les Chiens de Chasse	Messier
M 107	Amas d’étoiles globulaire	Amas du Crucifix – NGC 6171	16,54	-12,95	8,85	0,22	0,22	Ophiuchus	Messier
M 108	Galaxie	Galaxie de la Planche de Surf – NGC 3556	11,19	55,67	10,7	0,15	0,04	La Grande Ours	Messier
M 109	Galaxie	Galaxie de l’Aspirateur – NGC 3992	11,96	53,37	10,6	0,13	0,08	La Grande Ours	Messier
M 110	Galaxie	NGC 205	0,67	41,69	8,07	0,37	0,18	Andromède	Messier
NGC 891	Galaxie	Caldwell 23	2,3758	42,3483	10,1	0,225	0,04166	Andromède	NGC
NGC 7662	Nébuleuse planétaire	Boule de neige bleue – Caldwell 22	23,4315	42,535	8,3	0,01027	0,004166	Andromède	NGC
NGC 6781	Nébuleuse planétaire	Nébuleuse de la Boule de neige	19,30780278	6,538694	11,8	0,0294	0,0294	L’Aigle	NGC
