Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 936	Galaxie	Starfighter de Dark Vador	2,46041944444444	-1,15469444444444	10,81	0,065334	0,0555334	La Baleine	NGC
NGC 2359	Région HII	Casque de Thor – SH2-298	7,30798611111111	-13,2281666666667	0	0,1667	0,08334	Le Grand Chien	NGC
NGC 4274	Galaxie	PGC 39724	12,3305083333333	29,6181944444444	10,41	0,08678334	0,03905	La Chevelure de Bérénice	NGC
NGC 4414	Galaxie	PGC 40692	12,4406333333333	31,2271666666667	10,12	0,04771667	0,02671667	La Chevelure de Bérénice	NGC
NGC 4494	Galaxie	PGC 41441	12,5231361111111	25,7783333333333	9,74	0,05495	0,0478	La Chevelure de Bérénice	NGC
NGC 4559	Galaxie	Galaxie de la Carpe Koï – Caldwell 36	12,5991555555556	27,96325	10,01	0,178334	0,07334	La Chevelure de Bérénice	NGC
NGC 4565	Galaxie	Galaxie de l’Aiguille – Caldwell 38	12,6055805555556	25,9907777777778	12,43	0,265	0,0308334	La Chevelure de Bérénice	NGC
NGC 4725	Galaxie	PGC 43451	13,555	25,5041666666667	12,44	0,1288334	0,067	La Chevelure de Bérénice	NGC
NGC 4361	Nébuleuse planétaire	Nébuleuse de l’Arroseur de Gazon	12,4083388888889	-18,7848888888889	10,9	0,0225	0,0225	Le Corbeau	NGC
NGC 4111	Galaxie	PGC 48440	12,1172361111111	43,0694166666667	10,74	0,03611667	0,008667	Les Chiens de Chasse	NGC
NGC 4228	Galaxie	PGC 39225	12,260625	36,3306944444444	10,3	0,08011667	0,0512667	Les Chiens de Chasse	NGC
NGC 4244	Galaxie	Silver Needle Galaxy – Caldwell 26	12,2913138888889	37,811	10	0,276667	0,0316667	Les Chiens de Chasse	NGC
NGC 4449	Galaxie	The Box Galaxy – Caldwell 21	12,4694916666667	44,0978055555556	9,4	0,103334	0,073334	Les Chiens de Chasse	NGC
NGC 4490	Galaxie	Galaxie du Cocon	12,5098527777778	41,6478055555556	9,79	0,088716667	0,03815	Les Chiens de Chasse	NGC
